06:11:46 [AccountInfo] Account disconnected by clear (Account: pesadelo11, IpAddress: 26.89.180.238, GameServerCode: 6)
06:13:16 [AccountInfo] Account connected (Account: pesadelo11, IpAddress: 26.89.180.238, GameServerCode: 6)
06:13:42 [AccountInfo] Account disconnected (Account: pesadelo11, IpAddress: 26.89.180.238, GameServerCode: 6)
06:13:50 [AccountInfo] Account connected (Account: ogocx, IpAddress: 26.89.180.238, GameServerCode: 6)
06:20:14 [AccountInfo] Account disconnected by clear (Account: ogocx, IpAddress: 26.89.180.238, GameServerCode: 6)
06:23:27 [AccountInfo] Account connected (Account: ogocx, IpAddress: 26.89.180.238, GameServerCode: 6)
15:03:49 [AccountInfo] Account connected (Account: ogocx, IpAddress: 26.89.180.238, GameServerCode: 6)
15:05:18 [AccountInfo] Account disconnected by clear (Account: ogocx, IpAddress: 26.89.180.238, GameServerCode: 6)
15:06:17 [AccountInfo] Account connected (Account: ogocx, IpAddress: 26.89.180.238, GameServerCode: 6)
15:08:16 [AccountInfo] Account disconnected by clear (Account: ogocx, IpAddress: 26.89.180.238, GameServerCode: 6)
15:09:42 [AccountInfo] Account connected (Account: zamora, IpAddress: 26.89.180.238, GameServerCode: 6)
15:09:54 [AccountInfo] Account disconnected (Account: zamora, IpAddress: 26.89.180.238, GameServerCode: 6)
15:10:01 [AccountInfo] Account connected (Account: zamora, IpAddress: 26.89.180.238, GameServerCode: 6)
15:10:50 [AccountInfo] Account disconnected (Account: zamora, IpAddress: 26.89.180.238, GameServerCode: 6)
15:13:19 [AccountInfo] Account connected (Account: zamora, IpAddress: 26.89.180.238, GameServerCode: 6)
15:19:15 [AccountInfo] Account disconnected by clear (Account: zamora, IpAddress: 26.89.180.238, GameServerCode: 6)
15:20:05 [AccountInfo] Account connected (Account: teste, IpAddress: 26.89.180.238, GameServerCode: 6)
15:21:45 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 26.89.180.238, GameServerCode: 6)
15:22:32 [AccountInfo] Account connected (Account: teste, IpAddress: 26.89.180.238, GameServerCode: 6)
15:31:05 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 26.89.180.238, GameServerCode: 6)
15:32:28 [AccountInfo] Account connected (Account: teste, IpAddress: 26.89.180.238, GameServerCode: 6)
19:02:46 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 26.89.180.238, GameServerCode: 6)
