21:18:53 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
21:24:56 [AccountInfo] Account disconnected (Account: admin, IpAddress: 26.199.6.248, GameServerCode: 6)
21:45:16 [AccountInfo] Account disconnected by clear (Account: hard, IpAddress: 26.89.180.238, GameServerCode: 6)
21:46:45 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
21:47:23 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
21:47:35 [AccountInfo] Account connected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
21:47:41 [AccountInfo] Account disconnected (Account: portuga, IpAddress: 26.89.180.238, GameServerCode: 6)
21:47:44 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
21:48:25 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
21:51:26 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
21:56:15 [AccountInfo] Account disconnected by clear (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
21:58:13 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
21:58:25 [AccountInfo] Account connected (Account: admin, IpAddress: 26.199.6.248, GameServerCode: 6)
22:25:17 [AccountInfo] Account disconnected (Account: admin, IpAddress: 26.199.6.248, GameServerCode: 6)
22:33:17 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
22:33:55 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
22:57:10 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
22:58:13 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
22:58:42 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
23:24:17 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
23:24:37 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
23:25:34 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
23:26:40 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
23:52:09 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
23:55:55 [AccountInfo] Account disconnected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
23:58:11 [AccountInfo] Account connected (Account: wall, IpAddress: 26.89.180.238, GameServerCode: 6)
